age,gender,height_cm,weight_kg,step_count,distance_km,workout_type,workout_duration_min,heart_rate_max,heart_rate_resting,sleep_duration_hr,sleep_quality_score,water_intake_liters,blood_pressure_systolic,blood_pressure_diastolic,stress_level,calories_consumed,protein_intake_g,carb_intake_g,fat_intake_g,calories_burned,fitness level,heart rate avg,bmi,Blood Pressure
12,male,160,50,1400,0.03,cycling,30,190,70,10.0,10.0,1.2,110,90,6.0,1700,70,120,40,140,beginner,130,20.0,110/90
82,female,160,70,2500,1.07,yoga,35,210,65,11.1,11.1,1.89,115,78,7.2,2000,90,180,55,380,advanced,152,25.5,115/78
59,male,295,170,9200,0.39,cycling,215,375,255,28.5,28.5,4.9,295,275,23.5,5500,260,510,235,860,advanced,320,34.5,295/275
56,male,280,155,8600,0.36,cycling,200,360,240,27.0,27.0,4.6,280,260,22.0,5200,245,480,220,800,advanced,305,33.0,280/260
26,non-binary,230,115,4200,0.17,running,100,260,140,17.0,17.0,2.7,180,160,13.0,3300,145,270,115,420,advanced,200,29.0,180/160
37,non-binary,220,105,5900,0.25,running,140,300,180,21.0,21.0,3.5,220,200,17.0,4100,185,350,155,580,advanced,240,27.5,220/200
75,female,163,69,2700,1.03,yoga,32,206,63,10.9,10.9,1.84,112,74,6.8,1800,82,170,50,360,advanced,147,24.3,112/74
41,female,161,58,2200,0.69,swimming,22,200,54,8.5,8.5,1.63,108,68,5.1,1520,68,145,38,280,intermediate,134,21.2,108/68
67,male,170,72,2800,1.23,gym,30,203,62,9.4,9.4,1.83,110,72,6.1,1720,80,160,48,340,advanced,142,23.8,110/72
49,non-binary,280,165,8300,0.37,running,200,360,240,27.0,27.0,4.7,280,260,23.0,5300,245,470,215,820,advanced,300,33.5,280/260
67,male,168,72,2900,1.12,gym,30,203,65,11.1,11.1,1.94,113,75,7.2,1850,84,175,55,370,advanced,152,27.4,113/75
25,non-binary,225,120,4000,0.16,running,95,255,135,16.5,16.5,2.6,175,155,12.5,3200,140,260,110,400,advanced,195,28.5,175/155
13,male,170,60,2200,0.04,cycling,40,200,90,11.0,11.0,1.2,130,110,7.0,1700,80,140,50,220,intermediate,150,21.0,130/110
59,male,173,72,2600,1.04,cycling,28,204,61,9.3,9.3,1.77,109,73,6.2,1720,82,160,48,320,advanced,136,23.6,109/73
59,male,169,68,2400,0.89,gym,28,204,61,9.8,9.8,1.77,109,70,5.9,1640,75,155,42,320,advanced,141,23.1,109/70
56,male,280,155,8600,0.36,cycling,200,360,240,27.0,27.0,4.6,280,260,22.0,5200,245,480,220,800,advanced,305,33.0,280/260
25,non-binary,225,120,4000,0.16,running,95,255,135,16.5,16.5,2.6,175,155,12.5,3200,140,260,110,400,advanced,195,28.5,175/155
57,non-binary,285,160,8800,0.37,running,205,365,245,27.5,27.5,4.7,285,265,22.5,5300,250,490,225,820,advanced,310,33.5,285/265
49,male,175,70,3200,0.32,gym,45,200,70,11.0,11.0,1.6,120,90,7.8,2200,90,180,55,400,advanced,150,24.4,120/90
38,female,164,56,1900,0.51,swimming,18,190,52,8.1,8.1,1.57,102,64,4.5,1480,58,130,34,240,intermediate,130,20.5,102/64
24,male,220,115,3800,0.15,cycling,90,250,130,16.0,16.0,2.5,170,150,12.0,3100,135,250,105,380,advanced,190,28.0,170/150
37,non-binary,220,105,5900,0.25,running,140,300,180,21.0,21.0,3.5,220,200,17.0,4100,185,350,155,580,advanced,240,27.5,220/200
47,female,270,155,7900,0.35,gym,190,350,230,26.0,26.0,4.5,270,250,22.0,5100,235,450,205,780,advanced,290,32.5,270/250
67,male,170,72,2800,1.23,gym,30,203,62,9.4,9.4,1.83,110,72,6.1,1720,80,160,48,340,advanced,142,23.8,110/72
42,male,245,130,6900,0.3,cycling,165,325,205,23.5,23.5,4.0,245,225,19.5,4600,210,400,180,680,advanced,265,30.0,245/225
38,female,164,56,1900,0.51,swimming,18,190,52,8.1,8.1,1.57,102,64,4.5,1480,58,130,34,240,intermediate,130,20.5,102/64
24,male,220,115,3800,0.15,cycling,90,250,130,16.0,16.0,2.5,170,150,12.0,3100,135,250,105,380,advanced,190,28.0,170/150
71,female,162,65,2300,0.83,yoga,29,209,66,10.3,10.3,1.83,113,76,7.4,1840,85,170,52,340,advanced,148,24.7,113/76
59,male,169,68,2400,0.89,gym,28,204,61,9.8,9.8,1.77,109,70,5.9,1640,75,155,42,320,advanced,141,23.1,109/70
48,male,275,160,8100,0.36,cycling,195,355,235,26.5,26.5,4.6,275,255,22.5,5200,240,460,210,800,advanced,295,33.0,275/255
23,female,215,110,3600,0.14,gym,85,245,125,15.5,15.5,2.4,165,145,11.5,3000,130,240,100,360,advanced,185,27.5,165/145
63,male,173,72,3600,0.36,running,55,210,80,12.0,12.0,1.8,130,100,8.8,2400,100,200,65,500,advanced,160,26.1,130/100
91,male,165,75,2900,1.29,cycling,33,208,68,10.6,10.6,1.93,118,82,8.1,2200,95,190,60,420,advanced,155,26.1,118/82
22,non-binary,210,105,3400,0.13,running,80,240,120,15.0,15.0,2.3,160,140,11.0,2900,125,230,95,340,advanced,180,27.0,160/140
21,male,205,100,3200,0.12,cycling,75,235,115,14.5,14.5,2.2,155,135,10.5,2800,120,220,90,320,advanced,175,26.5,155/135
17,female,185,75,2400,0.08,gym,55,215,95,12.5,12.5,1.7,135,115,8.5,2200,95,170,65,240,beginner,155,23.8,135/115
41,female,161,58,2200,0.69,swimming,22,200,54,8.5,8.5,1.63,108,68,5.1,1520,68,145,38,280,intermediate,134,21.2,108/68
71,female,162,65,2300,0.83,yoga,29,209,66,10.3,10.3,1.83,113,76,7.4,1840,85,170,52,340,advanced,148,24.7,113/76
28,female,170,59,2200,0.77,swimming,22,198,55,7.9,7.9,1.63,103,63,4.9,1520,62,140,36,260,intermediate,132,21.3,103/63
34,non-binary,205,90,5300,0.22,running,125,285,165,19.5,19.5,3.2,205,185,15.5,3800,170,320,140,520,advanced,225,26.0,205/185
57,non-binary,285,160,8800,0.37,running,205,365,245,27.5,27.5,4.7,285,265,22.5,5300,250,490,225,820,advanced,310,33.5,285/265
14,female,160,45,1800,0.65,running,25,190,48,7.2,7.2,1.51,95,60,3.5,1400,50,120,30,220,beginner,128,18.5,95/60
16,male,180,70,2200,0.07,running,50,210,90,12.0,12.0,1.6,130,110,8.0,2100,90,160,60,220,beginner,150,23.0,130/110
22,non-binary,210,105,3400,0.13,running,80,240,120,15.0,15.0,2.3,160,140,11.0,2900,125,230,95,340,advanced,180,27.0,160/140
39,male,175,66,2600,0.98,gym,28,204,59,8.6,8.6,1.73,108,69,5.8,1680,72,150,44,300,advanced,139,22.8,108/69
34,non-binary,205,90,5300,0.22,running,125,285,165,19.5,19.5,3.2,205,185,15.5,3800,170,320,140,520,advanced,225,26.0,205/185
61,female,305,180,9600,0.41,gym,225,385,265,29.5,29.5,5.1,305,285,24.5,5700,270,530,245,900,advanced,330,35.5,305/285
46,female,167,61,2400,0.94,swimming,27,200,56,9.4,9.4,1.71,106,70,6.3,1710,70,150,42,300,advanced,134,22.5,106/70
49,male,175,70,3200,0.32,gym,45,200,70,11.0,11.0,1.6,120,90,7.8,2200,90,180,55,400,advanced,150,24.4,120/90
58,female,290,165,9000,0.38,gym,210,370,250,28.0,28.0,4.8,290,270,23.0,5400,255,500,230,840,advanced,315,34.0,290/270
45,non-binary,260,145,7500,0.33,running,180,340,220,25.0,25.0,4.3,260,240,21.0,4900,225,430,195,740,advanced,280,31.5,260/240
24,male,220,115,3800,0.15,cycling,90,250,130,16.0,16.0,2.5,170,150,12.0,3100,135,250,105,380,advanced,190,28.0,170/150
59,male,295,170,9200,0.39,cycling,215,375,255,28.5,28.5,4.9,295,275,23.5,5500,260,510,235,860,advanced,320,34.5,295/275
49,non-binary,280,165,8300,0.37,running,200,360,240,27.0,27.0,4.7,280,260,23.0,5300,245,470,215,820,advanced,300,33.5,280/260
24,male,220,115,3800,0.15,cycling,90,250,130,16.0,16.0,2.5,170,150,12.0,3100,135,250,105,380,advanced,190,28.0,170/150
28,female,165,55,2200,0.22,cycling,30,180,55,9.5,9.5,1.3,105,75,6.2,1900,70,140,40,250,intermediate,135,20.9,105/75
50,female,285,170,8500,0.38,gym,205,365,245,27.5,27.5,4.8,285,265,23.5,5400,250,480,220,840,advanced,305,34.0,285/265
12,male,160,50,1400,0.03,cycling,30,190,70,10.0,10.0,1.2,110,90,6.0,1700,70,120,40,140,beginner,130,20.0,110/90
24,male,220,115,3800,0.15,cycling,90,250,130,16.0,16.0,2.5,170,150,12.0,3100,135,250,105,380,advanced,190,28.0,170/150
38,female,225,110,6100,0.26,gym,145,305,185,21.5,21.5,3.6,225,205,17.5,4200,190,360,160,600,advanced,245,28.0,225/205
38,female,225,110,6100,0.26,gym,145,305,185,21.5,21.5,3.6,225,205,17.5,4200,190,360,160,600,advanced,245,28.0,225/205
14,male,170,60,1800,0.05,gym,40,200,80,11.0,11.0,1.4,120,100,7.0,1900,80,140,50,180,beginner,140,21.5,120/100
26,female,230,125,4200,0.17,gym,100,260,140,17.0,17.0,2.7,180,160,13.0,3300,145,270,115,420,advanced,200,29.0,180/160
33,male,200,85,5100,0.21,cycling,120,280,160,19.0,19.0,3.1,200,180,15.0,3700,165,310,135,500,advanced,220,25.5,200/180
35,male,172,68,2800,0.28,running,35,190,60,10.0,10.0,1.4,110,80,6.8,2000,80,160,45,300,advanced,140,22.7,110/80
82,female,160,70,2500,1.07,yoga,35,210,65,11.1,11.1,1.89,115,78,7.2,2000,90,180,55,380,advanced,152,25.5,115/78
28,female,165,55,2200,0.22,cycling,30,180,55,9.5,9.5,1.3,105,75,6.2,1900,70,140,40,250,intermediate,135,20.9,105/75
21,male,170,60,1500,0.15,gym,25,170,50,9.0,9.0,1.2,100,70,5.8,1800,65,130,35,200,intermediate,130,21.4,100/70
41,female,240,125,6700,0.29,gym,160,320,200,23.0,23.0,3.9,240,220,19.0,4500,205,390,175,660,advanced,260,29.5,240/220
85,male,171,75,3000,1.23,running,36,208,68,12.3,12.3,2.01,115,77,8.3,2000,92,190,60,420,advanced,160,28.5,115/77
40,non-binary,235,120,6500,0.28,running,155,315,195,22.5,22.5,3.8,235,215,18.5,4400,200,380,170,640,advanced,255,29.0,235/215
35,male,172,68,2800,0.28,running,35,190,60,10.0,10.0,1.4,110,80,6.8,2000,80,160,45,300,advanced,140,22.7,110/80
41,female,161,58,2200,0.69,swimming,22,200,54,8.5,8.5,1.63,108,68,5.1,1520,68,145,38,280,intermediate,134,21.2,108/68
38,female,225,110,6100,0.26,gym,145,305,185,21.5,21.5,3.6,225,205,17.5,4200,190,360,160,600,advanced,245,28.0,225/205
29,female,169,58,2100,0.82,swimming,26,197,54,8.4,8.4,1.65,105,67,5.1,1590,65,145,38,280,intermediate,133,21.6,105/67
55,male,171,69,2700,1.05,cycling,27,205,61,9.2,9.2,1.79,107,71,5.7,1640,78,155,45,300,advanced,140,23.5,107/71
32,female,195,80,4900,0.2,gym,115,275,155,18.5,18.5,3.0,195,175,14.5,3600,160,300,130,480,advanced,215,25.0,195/175
49,non-binary,280,165,8300,0.37,running,200,360,240,27.0,27.0,4.7,280,260,23.0,5300,245,470,215,820,advanced,300,33.5,280/260
26,male,176,64,2600,0.95,cycling,26,197,56,7.6,7.6,1.59,104,62,4.2,1400,60,130,32,280,intermediate,131,20.7,104/62
59,male,173,72,2600,1.04,cycling,28,204,61,9.3,9.3,1.77,109,73,6.2,1720,82,160,48,320,advanced,136,23.6,109/73
11,female,155,45,1200,0.02,gym,25,185,65,9.5,9.5,1.1,105,85,5.5,1600,65,110,35,120,beginner,125,19.2,105/85
14,male,170,60,1800,0.05,gym,40,200,80,11.0,11.0,1.4,120,100,7.0,1900,80,140,50,180,beginner,140,21.5,120/100
38,female,225,110,6100,0.26,gym,145,305,185,21.5,21.5,3.6,225,205,17.5,4200,190,360,160,600,advanced,245,28.0,225/205
26,female,230,125,4200,0.17,gym,100,260,140,17.0,17.0,2.7,180,160,13.0,3300,145,270,115,420,advanced,200,29.0,180/160
85,male,165,70,1900,0.75,walking,30,210,62,9.5,9.5,1.69,120,78,6.8,1800,80,160,50,280,beginner,142,24.2,120/78
21,male,205,100,3200,0.12,cycling,75,235,115,14.5,14.5,2.2,155,135,10.5,2800,120,220,90,320,advanced,175,26.5,155/135
22,non-binary,210,105,3400,0.13,running,80,240,120,15.0,15.0,2.3,160,140,11.0,2900,125,230,95,340,advanced,180,27.0,160/140
44,female,255,140,7300,0.32,gym,175,335,215,24.5,24.5,4.2,255,235,20.5,4800,220,420,190,720,advanced,275,31.0,255/235
28,female,170,59,2200,0.77,swimming,22,198,55,7.9,7.9,1.63,103,63,4.9,1520,62,140,36,260,intermediate,132,21.3,103/63
19,female,195,85,2800,0.1,running,65,225,105,13.5,13.5,1.9,145,125,9.5,2400,105,190,75,280,beginner,165,25.2,145/125
15,female,175,65,2000,0.06,cycling,45,205,85,11.5,11.5,1.5,125,105,7.5,2000,85,150,55,200,beginner,145,22.2,125/105
32,male,195,80,4900,0.2,cycling,115,275,155,18.5,18.5,3.0,195,175,14.5,3600,160,300,130,480,advanced,215,25.0,195/175
57,non-binary,285,160,8800,0.37,running,205,365,245,27.5,27.5,4.7,285,265,22.5,5300,250,490,225,820,advanced,310,33.5,285/265
85,male,171,75,3000,1.23,running,36,208,68,12.3,12.3,2.01,115,77,8.3,2000,92,190,60,420,advanced,160,28.5,115/77
42,male,245,130,6900,0.3,cycling,165,325,205,23.5,23.5,4.0,245,225,19.5,4600,210,400,180,680,advanced,265,30.0,245/225
82,female,160,70,2500,1.07,yoga,35,210,65,11.1,11.1,1.89,115,78,7.2,2000,90,180,55,380,advanced,152,25.5,115/78
46,non-binary,265,150,7700,0.34,running,185,345,225,25.5,25.5,4.4,265,245,21.5,5000,230,440,200,760,advanced,285,32.0,265/245
22,non-binary,210,105,3400,0.13,running,80,240,120,15.0,15.0,2.3,160,140,11.0,2900,125,230,95,340,advanced,180,27.0,160/140
42,male,245,130,6900,0.3,cycling,165,325,205,23.5,23.5,4.0,245,225,19.5,4600,210,400,180,680,advanced,265,30.0,245/225
12,female,165,55,2000,0.03,swimming,35,195,85,10.5,10.5,1.1,125,105,6.5,1600,75,130,45,200,intermediate,145,20.5,125/105
63,male,168,73,2400,0.99,gym,29,202,64,9.7,9.7,1.85,111,74,6.5,1760,85,165,52,320,advanced,144,24.4,111/74
47,female,270,155,7900,0.35,gym,190,350,230,26.0,26.0,4.5,270,250,22.0,5100,235,450,205,780,advanced,290,32.5,270/250
31,male,174,67,2300,0.97,gym,29,201,57,8.7,8.7,1.75,108,69,5.4,1670,75,155,45,300,advanced,135,22.9,108/69
36,male,215,100,5700,0.24,cycling,135,295,175,20.5,20.5,3.4,215,195,16.5,4000,180,340,150,560,advanced,235,27.0,215/195
59,male,173,72,2600,1.04,cycling,28,204,61,9.3,9.3,1.77,109,73,6.2,1720,82,160,48,320,advanced,136,23.6,109/73
13,male,170,60,2200,0.04,cycling,40,200,90,11.0,11.0,1.2,130,110,7.0,1700,80,140,50,220,intermediate,150,21.0,130/110
45,non-binary,260,145,7500,0.33,running,180,340,220,25.0,25.0,4.3,260,240,21.0,4900,225,430,195,740,advanced,280,31.5,260/240
59,male,295,170,9200,0.39,cycling,215,375,255,28.5,28.5,4.9,295,275,23.5,5500,260,510,235,860,advanced,320,34.5,295/275
82,female,160,70,2500,1.07,yoga,35,210,65,11.1,11.1,1.89,115,78,7.2,2000,90,180,55,380,advanced,152,25.5,115/78
82,female,160,70,2600,1.04,swimming,26,198,62,10.2,10.2,1.85,110,72,6.1,1780,79,165,50,340,advanced,145,26.1,110/72
14,male,170,60,1800,0.05,gym,40,200,80,11.0,11.0,1.4,120,100,7.0,1900,80,140,50,180,beginner,140,21.5,120/100
37,non-binary,220,105,5900,0.25,running,140,300,180,21.0,21.0,3.5,220,200,17.0,4100,185,350,155,580,advanced,240,27.5,220/200
77,male,172,75,4000,0.4,cycling,65,220,90,13.0,13.0,2.0,140,110,9.8,2600,110,220,75,600,advanced,170,28.1,140/110
49,male,175,70,3200,0.32,gym,45,200,70,11.0,11.0,1.6,120,90,7.8,2200,90,180,55,400,advanced,150,24.4,120/90
85,male,171,75,3000,1.23,running,36,208,68,12.3,12.3,2.01,115,77,8.3,2000,92,190,60,420,advanced,160,28.5,115/77
50,female,285,170,8500,0.38,gym,205,365,245,27.5,27.5,4.8,285,265,23.5,5400,250,480,220,840,advanced,305,34.0,285/265
58,female,290,165,9000,0.38,gym,210,370,250,28.0,28.0,4.8,290,270,23.0,5400,255,500,230,840,advanced,315,34.0,290/270
58,female,290,165,9000,0.38,gym,210,370,250,28.0,28.0,4.8,290,270,23.0,5400,255,500,230,840,advanced,315,34.0,290/270
48,male,275,160,8100,0.36,cycling,195,355,235,26.5,26.5,4.6,275,255,22.5,5200,240,460,210,800,advanced,295,33.0,275/255
35,female,165,55,2000,0.46,yoga,12,195,50,6.8,6.8,1.49,101,61,3.5,1320,59,118,28,200,beginner,126,19.5,101/61
59,male,295,170,9200,0.39,cycling,215,375,255,28.5,28.5,4.9,295,275,23.5,5500,260,510,235,860,advanced,320,34.5,295/275
21,male,205,100,3200,0.12,cycling,75,235,115,14.5,14.5,2.2,155,135,10.5,2800,120,220,90,320,advanced,175,26.5,155/135
